ID,Basin,Area,Code
1, Danube, 781238, 8
2, Daugava, 86819, 936
3, Dnieper, 496580, 6
4, Dniester, 72304, 76
5, Don, 426521, 4
6, Duero, 96438, 9118
7, Ebro, 85323, 9116
8, Elbe, 139773, 916
9, Garonne/Dordogne, 79899, 91196
10, Guadalquivir, 56671, 91174
11, Guadiana, 65774, 91176
12, Kemijoki, 55959, 9538; 9542
13, Kuban, 58159, 398
14, Loire, 116256, 912
15, Mezen, 76902, 976
16, Neman, 97499, 934
17, Neva, 235441, 94
18, Northern Dvina, 288979, 96
19, Odra, 116748, 918
20, Onega, 65997, 958
21, Pechora, 289205, 98
22, Po, 87239, 9112
23, Rhine, 194228, 914
24, Rhone, 84878, 9114
25, Seine, 86223, 9132
26, Severn, 7818, 91372
27, Southern Bug, 60246, 72
28, Tagus, 70091, 91178
29, Thames, 12424, 9136
30, Upper Danube, 208085, 89
31, Ural, 277453, 263; 265–269
32, Vistula, 194277, 92
33, Volga, 1446473, 27–29
